cpu,memory,execution
0.00244903564453125,0.00023174285888671875,2
0.022003173828125,0.0015010833740234375,3
0.0025177001953125,0.00022125244140625,2
0.00566864013671875,0.00262451171875,3
0.0111541748046875,0.0013027191162109375,3
0.002288818359375,0.004364013671875,3
0.002521514892578125,0.000331878662109375,3
0.0081024169921875,0.00182342529296875,3
0.016204833984375,0.002605438232421875,1
0.00566864013671875,0.00262451171875,2
0.0,0.00016498565673828125,3
0.0528564453125,0.00848388671875,3
0.0097198486328125,0.0022125244140625,2
0.0023193359375,0.00020885467529296875,2
0.010528564453125,0.001953125,3
0.022003173828125,0.001529693603515625,3
0.00566864013671875,0.00262451171875,3
0.005279541015625,0.003047943115234375,3
0.0111236572265625,0.0013027191162109375,72
0.003017425537109375,0.00017642974853515625,2
0.00566864013671875,0.00262451171875,2
0.00022029876708984375,0.0097503662109375,3
0.0097198486328125,0.0017528533935546875,3
0.002376556396484375,0.002307891845703125,3
0.00566864013671875,0.00262451171875,4
0.00260162353515625,0.00022792816162109375,241
0.0081024169921875,0.0014705657958984375,23
0.0008096694946289062,0.0008897781372070312,3
0.002521514892578125,0.00034999847412109375,3
0.0081024169921875,0.003612518310546875,3
0.00566864013671875,0.00262451171875,2
0.0081024169921875,0.002475738525390625,28
0.0141754150390625,0.00390625,3
0.002513885498046875,0.00022792816162109375,241
0.00566864013671875,0.00262451171875,4
0.0012416839599609375,0.000209808349609375,3
0.00566864013671875,0.00262451171875,3
0.00566864013671875,0.00262451171875,2
0.00566864013671875,0.00262451171875,3
0.00566864013671875,0.00262451171875,2
0.00566864013671875,0.00262451171875,2
0.00566864013671875,0.00262451171875,3
0.017608642578125,0.01019287109375,3
0.009490966796875,0.0013027191162109375,3
0.00566864013671875,0.00262451171875,2
0.0026397705078125,0.00021266937255859375,2
0.00566864013671875,0.00262451171875,3
0.00566864013671875,0.00262451171875,2
0.001773834228515625,0.00023555755615234375,2
0.0025634765625,0.00024318695068359375,2
0.024688720703125,0.0029296875,3
0.0011272430419921875,0.0002002716064453125,3
0.002597808837890625,0.0002231597900390625,241
0.0089263916015625,0.00031757354736328125,3
0.00566864013671875,0.00262451171875,2
0.011077880859375,0.0013027191162109375,1
0.00643157958984375,0.0052490234375,3
0.0012416839599609375,0.000213623046875,3
0.0528564453125,0.0057373046875,3
0.0081024169921875,0.002605438232421875,3
0.001171112060546875,0.00019550323486328125,3
0.00566864013671875,0.00262451171875,4
0.002521514892578125,0.00033855438232421875,3
0.00566864013671875,0.00262451171875,2
0.002246856689453125,0.00020885467529296875,2
0.0081024169921875,0.0078125,3
0.0111541748046875,0.0013027191162109375,3
0.0528564453125,0.00530242919921875,3
0.00395965576171875,0.0052490234375,3
